ID;Type;Tag;Description;HI-Alarm;Normal;LO-Alarm;Unit
XMEAS 40;AIR;002;Concentration Underflow Stripper (Material G);59.18;53.80;48.42;mol%
XMEAS 41;AIR;002;Concentration Underflow Stripper (Material H);48.35;43.95;39.56;mol%
XMEAS 42;TIR;100;Temperature Feed A;49.5;45.00;40.50;C
XMEAS 43;TIR;101;Temperature Feed D;49.5;45.00;40.50;C
XMEAS 44;TIR;102;Temperature Feed E;49.5;45.00;40.50;C
XMEAS 45;TIR;103;Temperature Feed C;49.5;45.00;40.50;C
XMEAS 46;TIR;122;Temperature Cooling Water Inlet Reactor;38.5;35.00;31.50;C
XMEAS 47;FIR;122;Flow Cooling Water Inlet Reactor;89.804;81.64;73.48;mh-1
XMEAS 48;TIR;123;Temperature Cooling Water Inlet Condenser;44.00;40.00;36.00;C
XMEAS 49;FIR;123;Flow Cooling Water Inlet Condenser;36.993;33.63;30.27;mh-1
XMEAS 50;AIR;100;Concentration Feed A (Material A);109.99;99.99;89.99;mol%
XMEAS 51;AIR;100;Concentration Feed A (Material B);1.00;0.01;-1.00;mol%
XMEAS 52;AIR;100;Concentration Feed A (Material C);1.00;0.00;-1.00;mol%
XMEAS 53;AIR;100;Concentration Feed A (Material D);1.00;0.00;-1.00;mol%
XMEAS 54;AIR;100;Concentration Feed A (Material E);1.00;0.00;-1.00;mol%
XMEAS 55;AIR;100;Concentration Feed A (Material F);1.00;0.00;-1.00;mol%
XMEAS 56;AIR;101;Concentration Feed D (Material A);1.00;0.00;-1.00;mol%
XMEAS 57;AIR;101;Concentration Feed D (Material B);1.00;0.01;-1.00;mol%
XMEAS 58;AIR;101;Concentration Feed D (Material C);1.00;0.00;-1.00;mol%
XMEAS 59;AIR;101;Concentration Feed D (Material D);109.99;99.99;89.99;mol%
XMEAS 60;AIR;101;Concentration Feed D (Material E);1.00;0.00;-1.00;mol%
XMEAS 61;AIR;101;Concentration Feed D (Material F);1.00;0.00;-1.00;mol%
XMEAS 62;AIR;102;Concentration Feed E (Material A);1.00;0.00;-1.00;mol%
XMEAS 63;AIR;102;Concentration Feed E (Material B);1.00;0.00;-1.00;mol%
XMEAS 64;AIR;102;Concentration Feed E (Material C);1.00;0.00;-1.00;mol%
XMEAS 65;AIR;102;Concentration Feed E (Material D);1.00;0.00;-1.00;mol%
XMEAS 66;AIR;102;Concentration Feed E (Material E);109.99;99.99;89.99;mol%
XMEAS 67;AIR;102;Concentration Feed E (Material F);1.00;0.01;-1.00;mol%
XMEAS 68;AIR;103;Concentration Feed C (Material A);53.35;48.50;43.65;mol%
XMEAS 69;AIR;103;Concentration Feed C (Material B);0.80;0.50;0.15;mol%
XMEAS 70;AIR;103;Concentration Feed C (Material C);56.10;51.00;45.90;mol%
XMEAS 71;AIR;103;Concentration Feed C (Material D);1.00;0.00;-1.00;mol%
XMEAS 72;AIR;103;Concentration Feed C (Material E);1.00;0.00;-1.00;mol%
XMEAS 73;AIR;103;Concentration Feed C (Material F);1.00;0.00;-1.00;mol%
